Price,Fuel_Tank_Capacity,Height,Width,City_Mileage,Power,Seating_Capacity
292667,24,1652,175,23,38,4
236447,24,1652,175,23,38,4
296661,15,1652,175,36,38,4
334768,24,1652,175,23,38,4
272223,24,1652,175,23,38,4
314815,24,1652,175,23,38,4
279650,28,1541,156,21,54,5
351832,28,1541,156,21,54,5
333419,28,1541,156,21,54,5
362000,28,1541,156,21,54,5
390000,28,1541,156,21,68,5
437065,28,1541,156,21,68,5
353290,28,149,1579,25,54,5
283290,28,149,1579,25,54,5
383290,28,149,1579,25,54,5
413290,28,149,158,25,54,5
433290,28,149,1579,25,68,5
454490,28,149,1579,25,68,5
463290,28,149,1579,25,68,5
484490,28,149,1579,25,68,5
440990,28,149,1579,25,68,5
470990,28,149,1579,25,68,5
462190,28,149,1579,25,68,5
492190,28,149,1579,25,68,5
352136,4,18,1475,12,73,5
380573,4,18,1475,12,74,7
392967,4,18,1475,11,73,5
466057,4,18,1475,2,62,5
425255,4,18,1475,2,62,5
377588,35,1475,149,14,68,5
394036,35,1475,149,14,68,5
360843,35,1475,149,19,68,5
407238,35,146,1475,14,68,5
439777,35,1475,149,32,59,5
438559,35,1475,149,14,68,5
374990,35,157,1636,2,68,5
468229,35,157,1636,2,68,5
502492,35,157,1636,2,68,5
499990,35,157,1636,2,68,5
469990,35,157,1636,2,68,5
528464,35,157,1636,2,68,5
553015,35,157,1636,2,68,5
594464,35,157,1636,2,78,5
618015,35,157,1636,2,78,5
422444,35,156,16,23,68,5
480670,6,156,16,31,59,5
429990,35,156,1645,31,69,5
503990,35,156,1645,3,69,5
547990,35,156,1645,3,59,5
530990,35,156,1645,3,69,5
512990,35,156,1645,3,69,5
578990,6,156,1645,3,59,5
570990,35,156,1645,3,69,5
556490,35,156,1645,3,69,5
460000,35,1535,1677,3,86,5
520000,35,1535,1647,23,86,5
570000,35,1535,1647,23,86,5
599000,35,1535,1647,23,86,5
610000,35,1535,1647,23,86,5
620000,35,1535,1647,23,86,5
649000,35,1535,1647,23,86,5
660000,35,1535,1647,23,86,5
481074,35,156,16,23,68,5
475198,35,156,16,23,68,5
518198,35,156,16,23,68,5
524074,35,156,16,23,68,5
499734,35,156,16,23,68,5
540350,35,156,16,23,68,5
542735,35,156,16,23,68,5
552350,35,156,16,23,68,5
713898,32,1595,169,2,83,5
666898,32,1595,169,2,83,5
607841,32,1595,169,2,83,5
560841,32,1595,169,2,83,5
483320,32,1595,169,2,83,5
630320,32,1595,169,15,83,5
583320,32,1595,169,2,83,5
495000,4,1643,1739,23,72,7
559000,4,1643,1739,23,72,7
609000,4,1643,1739,23,72,7
663000,4,1643,1739,23,72,7
506000,46,173,157,13,76.6,5
568623,46,173,157,12,64,5
670000,46,173,157,13,76.6,5
603000,46,173,157,12,64,5
739000,46,173,157,12,64,5
739000,46,173,157,2,72,5
520300,45,151,1695,15,8,5
581000,45,151,1695,15,8,5
647800,45,151,1695,2,68,5
630000,45,151,1695,15,8,5
