,Make,Model,Price,Valves_Per_Cylinder,Emission_Norm,Fuel_Tank_Capacity,Height,Width,Doors,City_Mileage,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Power_Steering,Power_Windows,Power_Seats,Keyless_Entry,Power,Torque,Seating_Capacity,Audiosystem,Basic_Warranty,Central_Locking,Cup_Holders,Minimum_Turning_Radius,Drive_Modes,Voice_Recognition,ABS_(Anti-lock_Braking_System),Gross_Vehicle_Weight,Parking_Assistance,EBA_(Electronic_Brake_Assist),Navigation_System,Rain_Sensing_Wipers,Automatic_Headlamps
125,Hyundai,Elite I2,721693.00,4.00,BS IV,45.00,155.00,1734.00,5.00,13.3,Ventilated Disc,Drum,McPherson strut with coil spring,Coupled Torsion Beam Axle with coil spring,Electric Power,All Windows,NO,Remote,84PS@6rpm,115Nm@4rpm,5,CD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Front,5.2 meter,NO,NO,Yes,117 kg,Rear sensors with camera,NO,Yes,NO,NO
127,Hyundai,Elite I2,889930.00,4.00,BS IV,45.00,155.00,1734.00,5.00,13.3,Ventilated Disc,Drum,McPherson strut with coil spring,Coupled Torsion Beam Axle with coil spring,Electric Power,All Windows,NO,Smart Key,84PS@6rpm,114Nm@4rpm,5,CD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Front,5.2 meter,NO,NO,Yes,117 kg,Rear sensors with camera,NO,Yes,NO,Yes
128,Hyundai,Elite I2,934300.00,4.00,BS IV,45.00,155.00,1734.00,5.00,18.4,Ventilated Disc,Drum,McPherson strut & coil spring,Coupled Torsion Beam Axle with coil spring,Electric Power,All Windows,NO,Smart Key,9PS@4rpm,22Nm@15-275rpm,5,CD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Front,5.2 meter,NO,NO,Yes,117 kg,Rear sensors with camera,NO,Yes,NO,Yes
131,Hyundai,Elite I2,831693.00,4.00,BS IV,45.00,155.00,1734.00,5.00,13.3,Ventilated Disc,Drum,McPherson strut with coil spring,Coupled Torsion Beam Axle with coil spring,Electric Power,All Windows,NO,Remote,84PS@6rpm,115Nm@4rpm,5,CD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Front,5.2 meter,NO,NO,Yes,117 kg,Rear sensors with camera,NO,Yes,NO,NO
146,Volkswagen,Polo,676500.00,4.00,BS IV,45.00,1469.00,1682.00,5.00,14,Ventilated Disc,Drum,McPherson strut with stabiliser bar,Semi-independent trailing arm,Electric Power,All Windows,NO,Remote,76PS@62RPM,95Nm@3-43rpm,5,CD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Front,4.97 meter,NO,NO,Yes,152 kg,NO,NO,Yes,NO,NO
149,Volkswagen,Polo,851500.00,4.00,BS IV,45.00,1469.00,1682.00,5.00,19,Ventilated Disc,Drum,McPherson strut with stabiliser bar,Semi-independent trailing arm,Electric Power,All Windows,NO,Remote,9PS@42rpm,23Nm@15-25rpm,5,CD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Front,4.97 meter,NO,NO,Yes,162 kg,NO,NO,Yes,NO,NO
246,Skoda,Superb Sportline,289959.00,4.00,BS IV,66.00,1483.00,1864.00,4.00,11.3,Ventilated Disc,Ventilated Disc,McPherson suspension with lower triangular links and torsion stabiliser,"multi-element axle, with one longitudinal and transverse links, with torsion stabiliser",Electro-Hydraulic,All Windows,"Yes, with memory",Smart Key,18PS@62RPM,25NM@125-5rpm,5,CD/MP3/DVD Player with USB & Aux-in,3 years / Unlimited Kms,Yes,Front & Rear,5.4 meter,NO,NO,Yes,23 kg,Front and rear sensors with camera,Yes,Yes,Yes,Yes
259,Skoda,Kodiaq,329959.00,4.00,BS IV,66.00,1483.00,1864.00,4.00,15.1,Ventilated Disc,Ventilated Disc,McPherson suspension with lower triangular links and torsion stabilizer,"Multi-element axle, with one longitudinal and three transverse links, with torsion stabiliser",Electro-Hydraulic,All Windows,Yes,Smart Key,177PS@4RPM,35Nm@15-35rpm,5,CD/MP3/DVD Player with USB & Aux-in,3 years / Unlimited Kms,Yes,Front & Rear,11.1 meter,NO,NO,Yes,26 kg,Front and rear sensors with camera,Yes,Yes,Yes,Yes
260,Skoda,Kodiaq,367859.00,4.00,BS IV,66.00,1483.00,1864.00,4.00,15.1,Ventilated Disc,Ventilated Disc,McPherson suspension with lower triangular links and torsion stabilizer,"Multi-element axle, with one longitudinal and three transverse links, with torsion stabiliser",Electro-Hydraulic,All Windows,Yes,Smart Key,148bhp@4RPM,34Nm@15-35rpm,5,CD/MP3/DVD Player with USB & Aux-in,3 years / Unlimited Kms,Yes,Front & Rear,11.1 meter,NO,NO,Yes,26 kg,Front and rear sensors with camera,Yes,Yes,Yes,Yes
261,Skoda,Kodiaq,329959.00,4.00,BS IV,66.00,1483.00,1864.00,4.00,15.1,Ventilated Disc,Ventilated Disc,McPherson suspension with lower triangular links and torsion stabilizer,"Multi-element axle, with one longitudinal and three transverse links, with torsion stabiliser",Electro-Hydraulic,All Windows,Yes,Smart Key,177PS@4RPM,35Nm@15-35rpm,5,CD/MP3/DVD Player with USB & Aux-in,3 years / Unlimited Kms,Yes,Front & Rear,11.1 meter,NO,NO,Yes,26 kg,Front and rear sensors with camera,Yes,Yes,Yes,Yes
